Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_AND016,Andhra Pradesh,Āndhradeśa,Chebrolu,Nirvāṇa du Buddha,2 A.D. ; 3 A.D.,Stūpa ; balustrade,bouddhisme,Guntur Baudhasree Archaeological Museum,Maronet Léa
ASOK_AND015,Andhra Pradesh,Āndhradeśa,Uppugundur,Stūpa,2 A.D. ; 3 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_AND012,Andhra Pradesh,Āndhradeśa,Ghaṇṭasala,Demi-médaillon lotiforme,1 A.D. ; 2 A.D. ; 3 A.D. ,Pilier,bouddhisme,Ghantasala Archaeological Museum,Maronet Léa
ASOK_AND005,Andhra Pradesh,Āndhradeśa,Dupāḍu,Animaux ailés,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND004,Andhra Pradesh,Āndhradeśa,Dupāḍu,Animaux ailés,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND003,Andhra Pradesh,Āndhradeśa,Dupāḍu,Animaux ailés,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND001,Andhra Pradesh,Āndhradeśa,Ghaṇṭasala,Pilier d'Aśoka avec lions et roue,3 A.D.,Stūpa ; panneau ; bordure,bouddhisme,The Metropolitan Museum of Art (MET),Maronet Léa
ASOK_AMA198,Andhra Pradesh,Āndhradeśa,Amarāvatī,Stūpa ,1 A.D. ; 2 A.D.,Panneau,bouddhisme,New Delhi National Museum,Maronet Léa
ASOK_AMA072,Andhra Pradesh,Āndhradeśa,Amarāvatī,Stūpa figuré ; Buddha entourré de dévots et piliers avec lions,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; panneau,bouddhisme,The British Museum,Maronet Léa
ASOK_AMA071,Andhra Pradesh,Āndhradeśa,Amarāvatī,Éléphant et stūpa,1 A.D.,Stūpa ; pilier ; abaque,bouddhisme,The British Museum,Maronet Léa
ASOK_AMA060,Andhra Pradesh,Āndhradeśa,Amarāvatī,Montant de balustrade avec médaillon lotiforme,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade,bouddhisme,Chennai Government Museum,Maronet Léa
ASOK_AMA055,Andhra Pradesh,Āndhradeśa,Amarāvatī,Montant de balustrade avec médaillon lotiforme,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade,bouddhisme,Chennai Government Museum,Maronet Léa
ASOK_AMA054,Andhra Pradesh,Āndhradeśa,Amarāvatī,Pilier de balustrade avec demi-médaillon lotiforme ; scène du jātaka de Mandhata (cakravartin),1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,Chennai Government Museum,Maronet Léa
ASOK_AMA053,Andhra Pradesh,Āndhradeśa,Amarāvatī,Pilier de balustrade avec demi-médaillon lotiforme ; scènes de dévotion au Buddha aniconique et roi (cakravartin) entouré de sa cour,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,Chennai Government Museum,Maronet Léa
ASOK_AMA052,Andhra Pradesh,Āndhradeśa,Amarāvatī,Pilier de balustrade avec médaillon et demi-médaillons lotiformes ; scène de dévotion au stupa et ganas,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,Chennai Government Museum,Maronet Léa
ASOK_AMA014,Andhra Pradesh,Āndhradeśa,Amarāvatī,Grand médaillon lotiforme,2 A.D.,Stūpa ; balustrade,bouddhisme,The British Museum,Maronet Léa
ASOK_AMA013,Andhra Pradesh,Āndhradeśa,Amarāvatī,Grand médaillon lotiforme,2 A.D.,Stūpa ; balustrade,bouddhisme,The British Museum,Maronet Léa
ASOK_AMA011,Andhra Pradesh,Āndhradeśa,Amarāvatī,Pilier de balustrade avec médaillon lotiforme et scènes dans une cour royale,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa
